ID_Cliente,Genero,Idoso,Casado,Dependentes,Tempo_como_Cliente,Servico_Telefone,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,Metodo_Pagamento,Pagamento_Mensal,Total_Pago,Churn,Pagamento_Menssal
7590-VHVEG,Female,False,True,False,1,False,DSL,False,False,False,Month-to-month,Electronic check,29.85,29.85,False,
5575-GNVDE,Male,False,False,False,34,True,DSL,True,False,False,One year,Mailed check,56.95,1889.5,False,
3668-QPYBK,Male,False,False,False,2,True,DSL,True,False,False,Month-to-month,Mailed check,53.85,108.15,True,
7795-CFOCW,Male,False,False,False,45,False,DSL,True,True,False,One year,Bank transfer (automatic),40.90555555555556,1840.75,False,40.90555555555556
8191-XWSZG,Female,False,False,False,52,True,NO,,,,One year,Mailed check,19.672115384615385,1022.95,False,19.672115384615385
9959-WOFKT,Male,False,False,True,71,True,FIBER OPTIC,True,False,True,Two year,Bank transfer (automatic),103.97535211267606,7382.25,False,103.97535211267606
4190-MFLUW,Female,False,True,True,10,True,DSL,False,True,False,Month-to-month,Credit card (automatic),52.835,528.35,True,52.835
4183-MYFRB,Female,False,False,False,21,True,FIBER OPTIC,False,False,False,Month-to-month,Electronic check,88.70952380952382,1862.9,False,88.70952380952382
8779-QRDMV,Male,True,False,False,1,False,DSL,False,False,False,Month-to-month,Electronic check,39.65,39.65,True,39.65
1680-VDCWW,Male,False,True,False,12,True,NO,,,,One year,Bank transfer (automatic),16.854166666666668,202.25,False,16.854166666666668
1066-JKSGK,Male,False,False,False,1,True,NO,,,,Month-to-month,Mailed check,20.15,20.15,True,20.15
3638-WEABW,Female,False,True,False,58,True,DSL,False,True,False,Two year,Credit card (automatic),60.432758620689654,3505.1,False,60.432758620689654
6322-HRPFA,Male,False,True,True,49,True,DSL,True,True,False,Month-to-month,Credit card (automatic),60.61836734693878,2970.3,False,60.61836734693878
6865-JZNKO,Female,False,False,False,30,True,DSL,True,False,False,Month-to-month,Bank transfer (automatic),51.019999999999996,1530.6,False,51.019999999999996
6467-CHFZW,Male,False,True,True,47,True,FIBER OPTIC,False,False,True,Month-to-month,Electronic check,101.04574468085106,4749.15,True,101.04574468085106
8665-UTDHZ,Male,False,True,True,1,False,DSL,False,False,False,Month-to-month,Electronic check,30.2,30.2,True,30.2
5248-YGIJN,Male,False,True,False,72,True,DSL,True,True,True,Two year,Credit card (automatic),88.46458333333334,6369.45,False,88.46458333333334
8773-HHUOZ,Female,False,False,True,17,True,DSL,False,False,True,Month-to-month,Mailed check,64.3,1093.1,True,64.3
3841-NFECX,Female,True,True,False,71,True,FIBER OPTIC,True,True,False,Two year,Credit card (automatic),95.30915492957746,6766.95,False,95.30915492957746
4929-XIHVW,Male,True,True,False,2,True,FIBER OPTIC,False,False,True,Month-to-month,Credit card (automatic),90.825,181.65,False,90.825
6827-IEAUQ,Female,False,True,True,27,True,DSL,True,True,False,One year,Mailed check,69.42407407407407,1874.45,False,69.42407407407407
7310-EGVHZ,Male,False,False,False,1,True,NO,,,,Month-to-month,Bank transfer (automatic),20.2,20.2,False,20.2
3413-BMNZE,Male,True,False,False,1,True,DSL,False,False,False,Month-to-month,Bank transfer (automatic),45.25,45.25,False,45.25
6234-RAAPL,Female,False,True,True,72,True,FIBER OPTIC,True,True,True,Two year,Bank transfer (automatic),100.71805555555555,7251.7,False,100.71805555555555
6047-YHPVI,Male,False,False,False,5,True,FIBER OPTIC,False,False,False,Month-to-month,Electronic check,63.379999999999995,316.9,True,63.379999999999995
6572-ADKRS,Female,False,False,False,46,True,FIBER OPTIC,False,False,False,Month-to-month,Credit card (automatic),77.13695652173914,3548.3,False,77.13695652173914
5380-WJKOV,Male,False,False,False,34,True,FIBER OPTIC,False,False,True,Month-to-month,Electronic check,104.38970588235294,3549.25,True,104.38970588235294
8168-UQWWF,Female,False,False,False,11,True,FIBER OPTIC,False,False,True,Month-to-month,Bank transfer (automatic),100.4909090909091,1105.4,True,100.4909090909091
8865-TNMNX,Male,False,True,True,10,True,DSL,False,False,False,One year,Mailed check,47.57,475.7,False,47.57
9489-DEDVP,Female,False,True,True,70,True,DSL,True,False,True,Two year,Credit card (automatic),69.605,4872.35,False,69.605
9867-JCZSP,Female,False,True,True,17,True,NO,,,,One year,Mailed check,24.602941176470587,418.25,False,24.602941176470587
4671-VJLCL,Female,False,False,False,63,True,DSL,True,True,True,Two year,Credit card (automatic),77.16587301587302,4861.45,False,77.16587301587302
4080-IIARD,Female,False,True,False,13,True,DSL,True,True,True,Month-to-month,Electronic check,75.49615384615385,981.45,False,75.49615384615385
3714-NTNFO,Female,False,False,False,49,True,FIBER OPTIC,False,False,False,Month-to-month,Electronic check,79.72857142857143,3906.7,False,79.72857142857143
5948-UJZLF,Male,False,False,False,2,True,DSL,False,False,False,Month-to-month,Mailed check,48.5,97.0,False,48.5
7760-OYPDY,Female,False,False,False,2,True,FIBER OPTIC,False,False,True,Month-to-month,Electronic check,72.075,144.15,True,72.075
7639-LIAYI,Male,False,False,False,52,True,DSL,True,True,True,Two year,Credit card (automatic),81.11153846153846,4217.8,False,81.11153846153846
2954-PIBKO,Female,False,True,True,69,True,DSL,True,True,False,Two year,Credit card (automatic),61.6536231884058,4254.1,False,61.6536231884058
8012-SOUDQ,Female,True,False,False,43,True,FIBER OPTIC,False,False,True,Month-to-month,Electronic check,89.27325581395348,3838.75,False,89.27325581395348
9420-LOJKX,Female,False,False,False,15,True,FIBER OPTIC,True,False,True,Month-to-month,Credit card (automatic),95.09333333333333,1426.4,True,95.09333333333333
6575-SUVOI,Female,True,True,False,25,True,DSL,True,True,True,Month-to-month,Credit card (automatic),70.10600000000001,1752.65,False,70.10600000000001
7495-OOKFY,Female,True,True,False,8,True,FIBER OPTIC,False,False,False,Month-to-month,Credit card (automatic),79.1625,633.3,True,79.1625
4667-QONEA,Female,True,True,True,60,True,DSL,True,True,False,One year,Credit card (automatic),74.27250000000001,4456.35,False,74.27250000000001
1658-BYGOY,Male,True,False,False,18,True,FIBER OPTIC,False,False,True,Month-to-month,Electronic check,97.36388888888888,1752.55,True,97.36388888888888
8769-KKTPH,Female,False,True,True,63,True,FIBER OPTIC,True,False,True,One year,Credit card (automatic),100.17777777777778,6311.2,False,100.17777777777778
5067-XJQFU,Male,True,True,True,66,True,FIBER OPTIC,False,True,True,One year,Electronic check,107.21742424242424,7076.35,False,107.21742424242424
3957-SQXML,Female,False,True,True,34,True,NO,,,,Two year,Credit card (automatic),26.302941176470586,894.3,False,26.302941176470586
5954-BDFSG,Female,False,False,False,72,True,FIBER OPTIC,False,True,True,Two year,Credit card (automatic),109.07916666666667,7853.7,False,109.07916666666667
0434-CSFON,Female,False,True,False,47,True,FIBER OPTIC,False,False,True,Month-to-month,Electronic check,100.15106382978725,4707.1,False,100.15106382978725
1215-FIGMP,Male,False,False,False,60,True,FIBER OPTIC,False,False,True,Month-to-month,Bank transfer (automatic),90.845,5450.7,False,90.845
0526-SXDJP,Male,False,True,False,72,False,DSL,True,False,False,Two year,Bank transfer (automatic),41.138888888888886,2962.0,False,41.138888888888886
0557-ASKVU,Female,False,True,True,18,True,DSL,False,True,False,One year,Credit card (automatic),53.172222222222224,957.1,False,53.172222222222224
5698-BQJOH,Female,False,False,False,9,True,FIBER OPTIC,False,False,True,Month-to-month,Electronic check,95.25,857.25,True,95.25
